id_operacion,hora,cirujano
123,12:00:00,JOVIC Luka
124,07:00:00,WELBECK Danny
125,12:00:00,KOLAROV Aleksandar
126,12:00:00,GHODDOS  Saman
127,12:00:00,MENDY Benjamin
128,10:30:00,MARQUEZ Rafael
129,12:00:00,FAZIO Federico
130,12:00:00,PIQUE Gerard
131,03:00:23,JANUZAJ Adnan
132,06:00:00,STERLING Raheem
133,12:00:00,RAKITIC Ivan
134,01:10:00,EDERSON
135,07:00:00,GELSON MARTINS
136,07:00:00,LOVREN Dejan
137,02:00:00,SLITI Naim
138,12:00:00,SANCHEZ Davinson
139,10:30:00,DRAXLER Julian
140,11:11:00,KIM Minwoo
141,01:00:00,KOULIBALY Kalidou
142,09:00:00,ZHIRKOV Yury
143,02:00:00,COURTOIS Thibaut
144,03:19:19,TADIC Dusan
145,12:00:00,ROGIC Tom
146,05:00:00,GO Yohan
147,10:30:00,IVANOVIC Branislav
148,09:30:00,MATHLOUTHI Aymen
149,10:28:00,IWOBI Alex
150,12:00:00,ISCO
151,07:48:48,BADRI Anice
152,09:00:00,WELBECK Danny
153,12:00:00,RYBUS Maciej
154,01:00:00,BALOY Felipe
155,02:00:00,CARVALLO Jose
156,12:00:00,URIBE Mateus
157,11:00:00,NABBOUT Andrew
158,05:00:00,URRETAVISCAYA Jonathan
159,04:30:00,ROGIC Tom
160,05:00:00,XHAKA Granit
161,02:00:00,KUZIAEV Daler
162,11:00:00,KOSTIC Filip
163,12:00:00,PICKFORD Jordan
164,11:56:00,MOHAMED SALAH
165,09:00:00,SANCHEZ Carlos
166,09:30:00,WELBECK Danny
167,12:00:00,SHAQIRI Xherdan
168,02:45:00,REBIC Ante
169,12:00:00,MATARRITA Ronald
170,07:30:00,STERLING Raheem
171,02:00:00,PAVARD Benjamin
172,04:30:00,MOHAMMED ALSAHLAWI
173,06:30:00,MOSES Victor
174,02:00:00,SMOLOV Fedor
175,12:00:00,KIM Younggwon
176,05:00:00,SON Heungmin
177,12:00:00,YOUNG Ashley
178,05:00:00,MURILLO Michael
179,07:57:00,BRUNO FERNANDES
180,07:57:00,RODRIGUEZ Jose Luis
181,12:00:00,LEMAR Thomas
182,12:00:00,MOTAZ HAWSAWI
183,12:00:00,SALCEDO Carlos
184,12:00:00,RUI PATRICIO
185,06:30:00,MAHMOUD HAMDY
186,02:00:00,PEREZ Blas
187,08:00:00,MILIVOJEVIC Luka
188,05:00:00,EKDAL Albin
189,12:00:00,PEMBERTON Patrick
190,12:00:00,SEFEROVIC Haris
191,10:00:00,NAVAS Keylor
192,06:48:00,ELVEDI Nico
193,12:00:00,COOPER Armando
194,12:00:00,GISLASON Rurik
195,07:00:00,USAMI Takashi
196,12:00:00,DRAXLER Julian
197,01:00:00,VARELA Guillermo
198,07:01:00,VARGAS Camilo
199,07:01:00,EL AHMADI Karim
200,06:15:00,NWANKWO Simeon
201,08:00:00,LIVAKOVIC Dominik
202,05:30:00,FILIPE LUIS
203,12:00:00,OH Bansuk
204,10:30:00,JEDRZEJCZYK Artur
205,03:00:00,CIONEK Thiago
206,07:00:00,MINA Yerry
207,02:00:00,OSPINA David
208,08:00:00,LLORIS Hugo
209,03:00:00,KRAFTH Emil
210,12:00:00,OSPINA David
211,12:00:00,ARROYO Abdiel
212,12:00:00,CALVO Francisco
213,11:00:00,LO CELSO Giovani
214,09:00:00,AIT BENNASSER Youssef
215,12:00:00,MARQUINHOS
216,07:30:00,LINETTY Karol
217,09:45:00,REUS Marco
218,12:00:00,BEN MUSTAPHA Farouk
219,02:40:00,BOYATA Dedryck
220,12:00:00,SON Heungmin
221,12:00:00,ECHIEJILE Elderson
222,11:45:00,MARWAN MOHSEN
223,12:00:00,JO Hyeonwoo
224,12:00:00,CASEMIRO
225,12:00:00,HELANDER Filip
226,12:00:00,HOSSEINI Majid
227,01:30:00,ODRIOZOLA Alvaro
228,02:00:00,BEN MUSTAPHA Farouk
229,12:00:00,AZPILICUETA Cesar
230,05:00:00,CACEDA Carlos
231,12:00:00,KURZAWA Rafal
232,12:00:00,OSHIMA Ryota
233,12:00:00,MacLAREN Jamie
234,12:00:00,GIMENEZ Jose
235,06:00:00,HONDA Keisuke
236,02:23:00,KRAFTH Emil
237,07:30:00,ALEXANDER-ARNOLD Trent
238,12:00:00,PIVARIC Josip
239,12:00:00,LEE Yong
240,12:00:00,ROHDEN Marcus
241,04:00:00,WAGUE Moussa
242,03:00:00,ANSARIFARD Karim
243,12:00:00,RODRIGUEZ James
244,12:00:00,RAPHAEL GUERREIRO
245,09:00:00,FINNBOGASON Alfred
246,12:00:00,MARQUEZ Rafael
247,12:00:00,VELJKOVIC Milos
248,12:00:00,ROSE Danny
249,12:00:00,HAZARD Thorgan
250,12:00:00,GISLASON Rurik
251,10:00:00,LERMA Jefferson
252,12:00:00,TAREMI Mehdi
253,06:30:00,MAHMOUD HAMDY
254,06:30:00,KOKE
255,06:00:00,DOS SANTOS Giovani
256,12:00:00,MIRANDA
257,04:00:00,KOKE
258,12:00:00,KHALIL Ahmed
259,12:00:00,MOON Seonmin
260,10:00:00,DE ARRASCAETA Giorgian
261,12:00:00,STERLING Raheem
262,12:00:00,MILINKOVIC-SAVIC Sergej
263,12:00:00,MITROVIC Aleksandar
264,12:00:00,NAGATOMO Yuto
265,12:00:00,CALVO Francisco
266,12:00:00,MOHAMED ABDELSHAFY
267,05:30:00,BARRIOS  Wilmar
268,03:00:00,KANE Harry
269,05:00:00,DE ARRASCAETA Giorgian
270,07:20:00,HALLFREDSSON Emil
271,04:30:00,VELA Carlos
272,12:00:00,KHANZADEH Mohammad Reza
273,12:00:00,SRARFI Bassem
274,02:30:00,KIM Minwoo
275,12:00:00,MOHAMMED ALOWAIS
276,07:00:02,BIALKOWSKI Bartosz
277,07:30:07,MIGNOLET Simon
278,12:00:00,GO Yohan
279,12:00:00,VARGAS Camilo
280,12:00:00,CHADLI Nacer
281,12:00:00,OKAZAKI Shinji
282,12:00:00,MEUNIER Thomas
283,08:00:00,UEDA Naomichi
284,09:00:00,STOJKOVIC Vladimir
285,01:00:00,VIDA Domagoj
286,08:00:00,STRYGER LARSEN Jens
287,05:00:00,MARWAN MOHSEN
288,04:30:00,FAGNER
289,06:30:00,MATIC Nemanja
290,10:00:00,MARQUINHOS
291,08:00:00,CARTAGENA Wilder
292,08:00:00,MBODJI Kara
293,12:00:00,NWANKWO Simeon
294,12:00:00,SUBASIC Danijel
295,05:00:00,JUNG Wooyoung
296,04:30:00,ROSE Danny
297,09:00:00,JU Sejong
298,12:00:00,MIRANCHUK Anton
299,05:00:00,COURTOIS Thibaut
300,12:00:00,DELANEY Thomas
301,08:00:00,SAEVARSSON Birkir
302,12:00:00,LEWANDOWSKI Robert
303,05:00:00,PISZCZEK Lukasz
304,09:00:00,GISLASON Rurik
305,10:30:00,INIESTA Andres
306,12:30:00,TALAVERA Alfredo
307,09:30:00,PLATTENHARDT Marvin
308,12:00:00,TORABI Mehdi
309,10:00:00,KHANZADEH Mohammad Reza
310,07:00:00,LINGARD Jesse
311,12:00:00,DOS SANTOS Giovani
312,05:00:00,RADONJIC Nemanja
313,12:00:00,ENDO Wataru
314,12:00:00,CAHILL Gary
315,12:00:00,MERCADO Gabriel
316,12:00:00,KNUDSEN Jonas
317,12:00:00,MILINKOVIC-SAVIC Sergej
318,12:00:00,DE BRUYNE Kevin
319,12:00:00,RAJKOVIC Predrag
320,12:00:00,BRADARIC Filip
321,11:30:00,VENEGAS Johan
322,04:00:00,SPAJIC Uros
323,12:00:00,MUHANNAD ASIRI
324,12:00:00,YAHIA ALSHEHRI
325,10:00:00,AWAZIEM Chidozie
326,08:00:00,JURIC Tomi
327,08:30:00,SASSI Ferjani
328,09:00:00,INUI Takashi
329,05:00:00,OVIEDO Bryan
330,05:00:00,KOMPANY Vincent
331,06:30:00,INIESTA Andres
332,04:00:00,ZIVKOVIC Andrija
333,12:00:00,GIMENEZ Jose
334,07:30:00,CHADLI Nacer
335,12:53:00,EL KAABI Ayoub
336,05:00:00,ISCO
337,06:30:00,CORONA Jose
338,07:30:00,YOSHIDA Maya
339,05:00:00,IRVINE Jackson
340,02:30:00,BEN YOUSSEF Syam
341,02:30:00,GALLARDO Jesus
342,01:30:00,GRANQVIST Andreas
343,12:00:00,BACCA Carlos
344,06:30:00,DI MARIA Angel
345,12:00:00,JANG Hyunsoo
346,12:00:00,GALLESE Pedro
347,12:00:00,MENDYL Hamza
348,04:00:00,MARQUINHOS
349,12:00:00,AYALA Hugo
350,01:00:00,KAGAWA Shinji
351,08:00:00,MANDZUKIC Mario
352,12:00:00,RAJKOVIC Predrag
353,12:00:00,ARZANI Daniel
354,12:00:00,LINGARD Jesse
355,12:00:00,JORGENSEN Mathias
356,12:00:00,RENATO AUGUSTO
357,12:00:00,SEFEROVIC Haris
358,12:00:00,TRIPPIER Kieran
359,12:00:00,LEE Yong
360,12:00:00,BALOGUN Leon
361,01:00:00,DENDONCKER Leander
362,12:00:00,POGBA Paul
363,12:00:00,MOHAMED ABDELSHAFY
364,12:00:00,GAZINSKY Iury
365,12:00:00,DE ARRASCAETA Giorgian
366,12:00:00,SAUL
367,12:00:00,MEREDITH James
368,11:05:00,SALEM ALDAWSARI
369,04:00:00,THELIN Isaac Kiese
370,10:00:00,MUSLERA Fernando
371,07:30:00,HIGUAIN Gonzalo
372,12:00:00,STRINIC Ivan
373,10:00:00,LUKAKU Romelu
374,12:00:00,NAGATOMO Yuto
375,12:00:00,KURZAWA Rafal
376,06:00:00,URRETAVISCAYA Jonathan
377,12:30:00,GHODDOS  Saman
378,12:00:00,LUNEV Andrei
379,04:30:00,BOLANOS Christian
380,12:00:00,EKDAL Albin
381,12:00:00,COSTA Diego
382,12:00:00,TAISEER ALJASSAM
383,12:00:00,FILIPE LUIS
384,12:00:00,SAKHO Diafra
385,12:00:00,IDOWU Bryan
386,08:00:00,POULSEN Yussuf Yurary
387,12:00:00,DELANEY Thomas
388,06:00:00,HUSSAIN ALMOQAHWI
389,08:00:00,AGUERO Sergio
390,10:00:00,EROKHIN Aleksandr
391,12:00:00,POURALIGANJI Morteza
392,12:00:00,GUZMAN Nahuel
393,12:00:00,SANCHEZ Carlos
394,09:00:00,DEMBELE Moussa
395,05:00:00,PEMBERTON Patrick
396,01:00:00,CUEVA Christian
397,12:00:00,CAMPBELL Joel
398,04:30:00,YOTUN Yoshimar
399,06:00:00,PLATTENHARDT Marvin
400,12:00:00,MOOY Aaron
401,12:00:00,KIM Shinwook
402,12:00:00,MAALOUL Ali
403,12:00:00,AUGUSTINSSON Ludwig
404,10:30:21,JANSSON Pontus
405,08:00:00,MUHANNAD ASIRI
406,12:30:00,SANCHEZ Carlos
407,01:00:00,ABDULLAH OTAYF
408,10:42:00,PAVARD Benjamin
409,06:30:00,BEN YOUSSEF Fakhreddine
410,03:00:00,DIALLO Abdoulaye
411,12:00:00,PISZCZEK Lukasz
412,01:00:00,MAZAHERI Rashid
413,12:00:00,ALDERWEIRELD Toby
414,10:00:00,MILIVOJEVIC Luka
415,12:06:06,OVIEDO Bryan
416,03:40:40,GORETZKA Leon
417,08:30:00,HOSSEINI Majid
418,09:00:00,LUKAKU Romelu
419,12:00:00,HOSSEINI Majid
420,04:00:00,BALOY Felipe
421,02:00:00,JANG Hyunsoo
422,12:00:00,INGASON Sverrir
423,06:30:00,MINA Yerry
424,08:30:00,BRANDT Julian
425,09:00:00,ARAUJO Miguel
426,06:00:00,MOHAMED ELNENY
427,12:00:00,AGUERO Sergio
428,02:00:00,SIGURDARSON Bjorn
429,12:00:00,MUSLERA Fernando
430,12:00:00,HELANDER Filip
431,12:00:00,BERNARDO SILVA
432,08:30:00,THIAGO
433,05:00:00,RUIZ Bryan
434,04:20:00,RONNOW Frederik
435,03:00:00,HAJI SAFI Ehsan
436,12:00:00,INGASON Sverrir
437,06:00:00,PEPE
438,03:00:00,BENTANCUR Rodrigo
439,12:00:00,MERCADO Gabriel
440,12:00:00,JOAO MARIO
441,11:30:00,MVOGO Yvon
442,02:30:00,HURTADO Paolo
443,05:00:00,GUARDADO Andres
444,12:00:00,MILIVOJEVIC Luka
445,07:00:00,SIGURDSSON Gylfi
446,05:00:00,GROSICKI Kamil
447,02:00:00,NAGATOMO Yuto
448,02:00:00,BEHRAMI Valon
449,02:00:00,VARANE Raphael
450,03:00:00,CACERES Martin
451,11:30:00,HAJI SAFI Ehsan
452,12:00:00,MacLAREN Jamie
453,06:20:00,GABRIEL JESUS
454,10:00:00,DOS SANTOS Giovani
455,12:00:00,HAZARD Eden
456,12:00:00,THIAGO SILVA
457,02:00:00,TAISEER ALJASSAM
458,12:00:00,LANZINI Manuel
459,12:00:00,RODRIGUEZ James
460,12:00:00,MERIAH Yassine
461,12:00:00,SAMEDOV Alexander
462,09:00:00,URIBE Mateus
463,12:00:00,MURIEL Luis
464,12:00:00,MURILLO Oscar
465,12:00:00,KOVACIC Mateo
466,12:00:00,SAUL
467,12:00:00,FAGNER
468,07:00:00,USAMI Takashi
469,12:00:00,WAGUE Moussa
470,10:00:00,GISLASON Rurik
471,04:30:00,MONTAZERI Pejman
472,01:00:00,INIESTA Andres
473,12:00:00,TEODORCZYK Lukasz
474,12:00:00,PICKFORD Jordan
475,10:00:00,ARNASON Kari
476,12:00:00,LEE Yong
477,11:00:35,VARGAS Camilo
478,12:00:00,OBI Joel
479,12:00:00,GABRIEL JESUS
480,09:00:00,KONATE Moussa
481,11:00:00,KHEDIRA Sami
482,12:40:00,SMOLNIKOV Igor
483,12:00:00,CALDERON Jose
484,12:00:00,ZHIRKOV Yury
485,07:00:00,ERIKSEN Christian
486,12:00:00,TAISEER ALJASSAM
487,06:00:00,ALDERWEIRELD Toby
488,06:00:00,CAVANI Edinson
489,08:14:26,PIMENTEL Valentin
490,07:00:00,MUHANNAD ASIRI
491,12:00:00,YOTUN Yoshimar
492,08:00:00,MARQUEZ Rafael
493,12:00:00,MUSA Ahmed
494,12:00:00,SMOLNIKOV Igor
495,09:00:00,SOW Moussa
496,10:00:00,EROKHIN Aleksandr
497,10:00:00,CORONA Jose
498,12:00:00,MEUNIER Thomas
499,07:00:00,FERNANDES Gelson
500,04:00:00,FRIDJONSSON Samuel
501,04:00:00,SZCZESNY Wojciech
502,12:00:00,ALEXANDER-ARNOLD Trent
503,12:00:00,CORZO Aldo
504,08:00:00,MARCELO
505,08:00:00,OH Bansuk
506,08:00:00,NAKAMURA Kosuke
507,12:00:00,CAVANI Edinson
508,12:00:00,BEN AMOR Mohamed
509,12:00:00,CALETA-CAR Duje
510,12:00:00,HASSEN Mouez
511,12:00:00,NAKAMURA Kosuke
512,12:00:00,MITROVIC Aleksandar
513,12:00:00,MOHAMED SALAH
514,12:00:00,AHMED HEGAZY
515,12:00:00,GUERRERO Paolo
516,12:00:00,DIOUF Mame
517,12:00:00,ANTHONY LOPES
518,03:00:00,KOLAROV Aleksandar
519,03:00:00,CHESHMI Roozbeh
520,03:00:00,RYAN Mathew
521,10:00:00,HONG Chul
522,10:00:00,HIGASHIGUCHI Masaaki
523,12:00:00,ALDERWEIRELD Toby
524,12:00:00,WALKER Kyle
525,12:00:00,BORJA Miguel
526,01:00:00,CHRISTENSEN Andreas
527,06:00:00,DA COSTA Manuel
528,10:00:00,YOUNG Ashley
529,12:00:00,SANCHEZ Davinson
530,12:00:00,TEJEDA Yeltsin
531,12:00:00,TRAUSTASON Arnor
532,12:00:00,JUNG Seunghyun
533,12:00:00,RAKITIC Ivan
534,12:00:00,BRONN Dylan
535,12:00:00,GUDMUNDSSON Albert
536,10:00:00,MAGUIRE Harry
537,10:00:00,KIM Seunggyu
538,10:00:00,LINETTY Karol
539,12:00:00,LANZINI Manuel
540,06:20:00,KIM Younggwon
541,07:00:00,PLATTENHARDT Marvin
542,09:30:00,URRETAVISCAYA Jonathan
543,08:30:00,KONATE Moussa
544,12:00:00,POURALIGANJI Morteza
545,05:30:00,MONTAZERI Pejman
546,12:00:00,VENEGAS Johan
547,12:00:00,MATARRITA Ronald
548,10:22:36,KIMPEMBE Presnel
549,06:30:00,MATIC Nemanja
550,10:30:50,BEN AMOR Mohamed
551,07:30:00,KRAFTH Emil
552,09:00:00,HADDADI Oussama
553,12:00:00,EL AHMADI Karim
554,05:00:00,BEN YOUSSEF Fakhreddine
555,06:00:00,CARRASCO Yannick
556,12:00:00,GUZMAN David
557,12:00:00,GOMEZ Gabriel
558,11:00:00,MOHAMED KANNO
559,05:00:00,TOLISSO Corentin
560,09:00:00,IZQUIERDO Jose
561,06:00:00,LOSSL Jonas
562,12:00:00,MVOGO Yvon
563,06:30:00,JOAO MARIO
564,09:00:00,RAKITIC Ivan
565,12:00:00,DRMIC Josip
566,10:00:00,FRIDJONSSON Samuel
567,12:00:00,HIGUAIN Gonzalo
568,12:00:00,CHRISTENSEN Andreas
569,12:00:00,TOIVONEN Ola
570,12:00:00,FREULER Remo
571,09:00:00,LOYOLA Nilson
572,09:00:00,SRARFI Bassem
573,12:00:00,LUSTIG Mikael
574,12:00:00,LAXALT Diego
575,12:00:00,DIER Eric
576,08:00:00,MAGNUSSON Hordur
577,06:30:00,RUDY Sebastian
578,06:00:00,RUIDIAZ Raul
579,09:00:00,SHAQIRI Xherdan
580,05:15:00,BRONN Dylan
581,06:50:00,TORRES Gabriel
582,11:00:00,ARIAS Santiago
583,11:30:00,SAM MORSY
584,08:00:00,KIMMICH Joshua
585,04:40:00,GORETZKA Leon
586,12:00:00,ALI GABR
587,12:00:00,JANSSON Pontus
588,12:00:00,CISS Saliou
589,09:00:00,KANE Harry
590,04:30:00,LOSSL Jonas
591,12:00:00,RODRIGO
592,11:00:00,MOJICA Johan
593,02:00:00,RENATO AUGUSTO
594,05:00:00,YASIR ALSHAHRANI
595,06:20:00,YOSHIDA Maya
596,12:00:00,IGNASHEVICH Sergey
597,05:00:00,KANTE Ngolo
598,12:00:00,JOSE FONTE
599,12:00:00,STERLING Raheem
600,10:00:00,DMITROVIC Marko
601,10:00:00,HONG Chul
602,08:50:00,RODRIGUEZ Ricardo
603,04:00:00,BOYATA Dedryck
604,06:00:00,MOHAMMADI Milad
605,06:00:00,SISTO Pione
606,06:30:00,JURIC Tomi
607,06:30:00,TIELEMANS Youri
608,06:00:00,GASSAMA Lamine
609,12:00:00,SMITH Ian
610,11:00:00,ESSAM EL HADARY
611,12:00:00,KURZAWA Rafal
612,10:00:00,BORJA Miguel
613,12:00:00,MUELLER Thomas
614,12:00:00,WASTON Kendall
615,12:00:00,MOHAMMED ALSAHLAWI
616,04:00:00,LUONGO Massimo
617,12:00:00,PHILIPPE COUTINHO
618,12:00:00,EL AHMADI Karim
619,12:00:00,SPAJIC Uros
620,05:00:00,KVIST William
621,12:00:00,WERNER Timo
622,12:00:00,KALINIC Lovre
623,12:00:00,LEE Seungwoo
624,12:00:00,YOUNG Ashley
625,10:00:00,STRINIC Ivan
626,03:00:00,KHAOUI Saifeddine
627,12:00:00,GUZMAN Nahuel
628,12:00:00,OEZIL Mesut
629,12:00:00,MOHAMMED ALBURAYK
630,12:00:00,JOHNSSON Karl-Johan
631,12:00:00,MIGNOLET Simon
632,12:00:00,GUDMUNDSSON Albert
633,12:00:00,ALLI Dele
634,12:00:00,KHANZADEH Mohammad Reza
635,12:00:00,PHILIPPE COUTINHO
636,12:00:00,JANUZAJ Adnan
637,12:00:00,RICARDO QUARESMA
638,12:00:00,GONZALEZ Giancarlo
639,12:00:00,JURIC Tomi
640,12:00:00,HUMMELS Mats
641,12:00:00,ZIVKOVIC Andrija
642,10:00:00,SRARFI Bassem
643,12:00:00,EYJOLFSSON Holmar
644,12:00:00,RICARDO
645,12:00:00,NDIAYE Alfred
646,04:00:00,SEMENOV Andrey
647,02:00:00,DURMAZ Jimmy
648,12:00:00,POGBA Paul
649,12:00:00,MITROVIC Aleksandar
650,03:30:00,CHRISTENSEN Andreas
651,12:00:00,BARCENAS Edgar
652,12:00:00,SMITH Ian
653,06:00:00,MENDY Benjamin
654,12:00:00,COLINDRES Daniel
655,12:00:00,JEDRZEJCZYK Artur
656,11:00:00,JOHNSSON Karl-Johan
657,12:00:00,LEWANDOWSKI Robert
658,12:00:00,OTAMENDI Nicolas
659,12:00:00,JONES Phil
660,12:00:00,DOS SANTOS Jonathan
661,12:00:00,BLASZCZYKOWSKI Jakub
662,09:00:00,MOHAMED SALAH
663,12:00:00,SAEVARSSON Birkir
664,09:00:00,DOLBERG Kasper
665,06:00:00,DIALLO Abdoulaye
666,10:00:00,PEPE
667,07:00:00,CUADRADO Juan
668,02:00:00,SAUL
669,10:00:00,JEDRZEJCZYK Artur
670,12:00:00,ZOBNIN Roman
671,05:55:00,EZENWA Ikechukwu
672,12:00:00,TOLISSO Corentin
673,09:00:00,TRAUSTASON Arnor
674,06:47:47,CIONEK Thiago
675,12:00:00,RICARDO QUARESMA
676,01:00:00,OLSSON Martin
677,11:00:00,EROKHIN Aleksandr
678,12:00:00,FLORES Edison
679,07:00:00,JUNG Seunghyun
680,12:00:00,CUMMINGS Harold
681,04:00:00,MIRANDA
682,03:00:00,OSHIMA Ryota
683,02:00:00,RUDY Sebastian
684,07:00:00,QUINTERO Alberto
685,10:00:00,CUMMINGS Harold
686,09:00:00,RODIC Milan
687,12:00:00,LEWANDOWSKI Robert
688,12:00:00,TEODORCZYK Lukasz
689,05:00:00,SHEHU Abdullahi
690,12:00:00,ARIAS Santiago
691,12:00:00,MIRANCHUK Alexey
692,12:00:00,BADRI Anice
693,04:30:00,AZMOUN Sardar
694,12:00:00,ARRIZABALAGA Kepa
695,05:00:00,LOFTUS-CHEEK Ruben
696,03:30:00,USAMI Takashi
697,07:30:00,ABDALLA SAID
698,12:00:00,DA COSTA Manuel
699,07:00:00,HARIT Amine
700,07:15:00,MBAPPE Kylian
701,11:00:00,NORDFELDT Kristoffer
702,12:00:00,USAMI Takashi
703,03:30:00,ANTHONY LOPES
704,04:00:00,KRAFTH Emil
705,02:00:00,AGUILAR Abel
706,01:00:00,PEMBERTON Patrick
707,07:00:00,ROSE Danny
708,12:00:00,ZIELINSKI Piotr
709,12:00:00,CRISTIANO RONALDO
710,02:00:00,MATIC Nemanja
711,12:00:00,PEPE
712,03:15:00,RUI PATRICIO
713,08:00:00,KAHRABA
714,10:00:00,ECHIEJILE Elderson
715,10:00:00,WALLACE Rodney
716,09:00:00,SCHRAM Frederik
717,12:50:00,RAKITIC Ivan
718,08:30:00,ACOSTA Johnny
719,08:00:00,RISDON Joshua
720,02:00:00,SABALY Youssouf
721,09:00:00,HASSEN Mouez
722,09:00:00,DOS SANTOS Jonathan
723,12:00:00,MITROVIC Aleksandar
724,01:30:00,BATSHUAYI Michy
725,04:30:00,AKANJI Manuel
726,12:00:00,SMITH Ian
727,12:00:00,BIGLIA Lucas
728,12:00:00,MOHAMED ELNENY
729,12:00:00,SAISS Romain
730,12:00:00,EL AHMADI Karim
731,12:00:00,GUZMAN Nahuel
732,12:00:00,OTAMENDI Nicolas
733,06:00:00,COLINDRES Daniel
734,12:00:00,WERNER Timo
735,12:00:00,STRINIC Ivan
736,12:00:00,ACOSTA Johnny
737,12:00:00,AMRABAT Noureddine
