id_operacion,hora,cirujano,QUIROFANO_id_quirofano
1271177,09:30:00,ALISSON,24
1273967,12:00:00,CUADRADO Juan,18
1277081,11:30:00,GORALSKI Jacek,20
1277813,06:45:00,JEDRZEJCZYK Artur,19
1282707,07:00:00,DE BRUYNE Kevin,0
1283844,11:00:00,NANDEZ Nahitan,18
1288769,07:30:00,RODRIGUEZ Jose Luis,0
1309623,12:00:00,MUSLERA Fernando,0
1310626,12:00:00,ALI ALBULAYHI,24
1311183,12:00:00,FEKIR Nabil,22
1320257,10:30:00,GELSON MARTINS,24
1320555,07:00:00,LEE Yong,6
1329460,12:00:00,YAMAGUCHI Hotaru,8
1331368,12:00:00,SCHAER Fabian,14
1334487,12:00:00,XHAKA Granit,11
1337827,12:00:00,DANILO,18
1341864,12:00:00,BORJA Miguel,5
1348708,04:00:00,GRANAT Vladimir,13
1350975,04:00:00,KANTE Ngolo,19
1352015,07:25:00,HALLDORSSON Hannes,15
1356123,02:30:00,DEGENEK Milos,23
1360274,08:15:00,OKAZAKI Shinji,21
1360991,05:00:00,GUZMAN David,24
1362453,08:30:00,RODRIGUEZ Jose Luis,4
1363174,06:30:00,MONREAL Nacho,24
1371182,12:00:00,MUHANNAD ASIRI,14
1374834,12:00:00,KHANZADEH Mohammad Reza,18
1383461,12:00:00,SZCZESNY Wojciech,22
1383694,12:00:00,SKULASON Ari,8
1397297,12:00:00,KUDRIASHOV Fedor,20
1399781,12:00:00,MASCHERANO Javier,17
1401270,12:00:00,ZUBER Steven,20
1406320,12:00:00,STERLING Raheem,6
1409814,12:00:00,ESSAM EL HADARY,16
1411966,09:00:35,POULSEN Yussuf Yurary,16
1416383,06:00:00,VERTONGHEN Jan,16
1422838,12:00:00,KJAER Simon,5
1428400,12:00:00,JOVIC Luka,14
1428993,12:00:00,MARWAN MOHSEN,9
1433228,12:00:00,YUN Youngsun,1
1434698,12:00:00,GUDMUNDSSON Albert,11
1434814,12:00:00,ABDULMALEK ALKHAIBRI,19
1436453,12:00:00,MILLIGAN Mark,7
1451768,12:00:00,MAHMOUD HAMDY,9
1457873,12:00:00,CALVO Francisco,15
1460925,10:00:00,PIQUE Gerard,4
1465592,12:00:00,MODRIC Luka,18
1466784,11:00:00,TORRES Gabriel,11
1472615,06:00:00,HONG Chul,11
1474280,06:00:00,GAVRANOVIC Mario,8
1482582,12:00:00,LAXALT Diego,8
1482923,08:00:00,JOAO MARIO,18
1490710,09:00:00,MESSI Lionel,11
1492236,04:00:00,BEN ALOUANE Yohan,15
1495648,12:00:00,BEDNAREK Jan,15
1498328,12:00:00,BEN ALOUANE Yohan,23
1500310,12:00:00,INIESTA Andres,20
1504686,12:00:00,SHAQIRI Xherdan,14
1506315,12:00:00,VAZQUEZ Lucas,18
1508742,12:00:00,POULSEN Yussuf Yurary,16
1509726,12:00:00,SCHMEICHEL Kasper,4
1517209,08:00:00,LINETTY Karol,19
1519023,07:00:00,BALDE Keita,16
1522305,12:00:00,MORENO Hector,10
1525212,12:00:00,FINNBOGASON Alfred,14
1528534,12:00:00,MERIAH Yassine,4
1530360,01:00:00,THAUVIN Florian,4
1534718,12:17:00,KANE Harry,13
1535312,09:00:00,SASSI Ferjani,18
1535549,01:30:00,SCHMEICHEL Kasper,1
1535940,12:00:00,RISDON Joshua,21
1538672,10:00:00,DE BRUYNE Kevin,8
1549617,12:00:00,MERCADO Gabriel,14
1553269,12:00:00,GALLESE Pedro,23
1556254,12:00:00,SALMAN ALFARAJ,4
1563053,12:00:00,BEDNAREK Jan,2
1564091,05:00:00,SIGURDARSON Bjorn,5
1572568,12:00:00,OCHOA Guillermo,2
1581552,08:00:00,SKULASON Olafur,10
1596202,12:00:00,OMAR GABER,23
1597761,12:00:00,RODRIGUEZ Jose Luis,17
1601361,07:00:00,MATIC Nemanja,24
1611563,12:00:00,SMOLNIKOV Igor,18
1613643,12:00:00,RAJKOVIC Predrag,1
1616685,12:00:00,VECINO Matias,23
1617586,10:30:00,BARRIOS  Wilmar,3
1621181,12:00:00,URRETAVISCAYA Jonathan,6
1622939,12:00:00,BEDNAREK Jan,18
1626433,03:00:23,RAPHAEL GUERREIRO,11
1627498,06:00:00,FRED,11
1632157,12:00:00,QUINTERO Juan,15
1635994,01:10:00,NAGUEZ Hamdi,24
1648966,07:00:00,VESTERGAARD Jannik,4
1650689,07:00:00,SCHAER Fabian,23
1652547,02:00:00,GUEYE Idrissa Gana,8
1654183,12:00:00,HERNANDEZ Javier,3
1660612,10:30:00,MANUEL FERNANDES,10
1662825,11:11:00,IGHALO Odion,9
1669707,01:00:00,SIGURDSSON Ragnar,2
1670107,09:00:00,KALINIC Nikola,11
1670657,02:00:00,BEN AMOR Mohamed,22
1674912,03:19:19,INIESTA Andres,18
1675556,12:00:00,FRIDJONSSON Samuel,7
1676098,05:00:00,LIVAKOVIC Dominik,1
1676879,10:30:00,SAMEDOV Alexander,9
1682100,09:30:00,KI Sungyueng,18
1684933,10:28:00,MOHAMED ELSHENAWY,17
1687135,12:00:00,SKHIRI Ellyes,8
1688976,07:48:48,KALINIC Lovre,7
1693095,09:00:00,VAZQUEZ Lucas,16
1694351,12:00:00,GLIK Kamil,14
1701183,01:00:00,COATES Sebastian,13
1701915,02:00:00,MOUBANDJE Francois,4
1706822,12:00:00,GHOOCHANNEJHAD Reza,21
1714595,11:00:00,HAJI SAFI Ehsan,17
1714801,05:00:00,CAHILL Gary,18
1715257,04:30:00,MERCADO Gabriel,12
1718425,05:00:00,KIM Minwoo,9
1720243,02:00:00,BACCA Carlos,8
1725350,11:00:00,STONES John,4
1727056,12:00:00,EKDAL Albin,2
1727221,11:56:00,MARCELO,16
1730441,09:00:00,JANG Hyunsoo,0
1736131,09:30:00,BERG Marcus,24
1739557,12:00:00,CHADLI Nacer,8
1742284,02:45:00,IHEANACHO Kelechi,21
1744451,12:00:00,LO CELSO Giovani,6
1747906,07:30:00,KI Sungyueng,11
1758937,02:00:00,GHODDOS  Saman,10
1766229,04:30:00,AGUERO Sergio,12
1770410,06:30:00,JORGENSEN Nicolai,10
1770624,02:00:00,ARZANI Daniel,10
1772144,12:00:00,LUONGO Massimo,16
1779829,05:00:00,KANTE Ngolo,20
1781558,12:00:00,DZAGOEV Alan,6
1785238,05:00:00,DEGENEK Milos,22
1787891,07:57:00,CARRILLO Andre,18
1787916,07:57:00,VARELA Guillermo,24
1788536,12:00:00,CHAALELI Ghaylen,20
1795583,12:00:00,MURILLO Michael,14
1802413,12:00:00,SAEVARSSON Birkir,13
1802555,12:00:00,AKPEYI Daniel,4
1806003,06:30:00,DENDONCKER Leander,11
1821041,02:00:00,MUSA Ahmed,15
1821554,08:00:00,DURMAZ Jimmy,3
1824238,05:00:00,PENEDO Jaime,2
1826993,12:00:00,SAMIR SAAD,7
1828522,12:00:00,RODRIGO,19
1833280,10:00:00,AREOLA Alphonse,20
1843191,06:48:00,SCHRAM Frederik,12
1857713,12:00:00,THIAGO,23
1860709,12:00:00,TIELEMANS Youri,19
1871873,07:00:00,MARQUEZ Rafael,18
1872306,12:00:00,TAGNAOUTI Ahmed,6
1874387,01:00:00,VIDA Domagoj,21
1879186,07:01:00,GRIEZMANN Antoine,15
1886879,07:01:00,KUDRIASHOV Fedor,10
1887963,06:15:00,BALDE Keita,5
1892819,08:00:00,FERNANDINHO,22
1894798,05:30:00,SANTAMARIA Anderson,19
1896909,12:00:00,BOYATA Dedryck,2
1897315,10:30:00,NORDFELDT Kristoffer,3
1898787,03:00:00,BROZOVIC Marcelo,11
1903358,07:00:00,GAZINSKY Iury,2
1904425,02:00:00,FABRA Frank,0
1906535,08:00:00,SASSI Ferjani,1
1910083,03:00:00,HOSSEINI Majid,12
1913722,12:00:00,CALDERON Jose,4
1923822,12:00:00,KIM Seunggyu,10
1933171,12:00:00,JOAO MARIO,17
1934800,11:00:00,NDOYE Cheikh,16
1941647,09:00:00,GOMEZ Gabriel,13
1942876,12:00:00,DANILO,4
1947024,07:30:00,PARK Jooho,7
1947648,09:45:00,GUARDADO Andres,20
1948120,12:00:00,LEMAR Thomas,15
1950406,02:40:00,DENDONCKER Leander,15
1951204,12:00:00,DENDONCKER Leander,14
1951295,12:00:00,AYMAN ASHRAF,14
1951683,11:45:00,PHILIPPE COUTINHO,3
1953123,12:00:00,ROBERTO FIRMINO,24
1953334,12:00:00,LUNEV Andrei,15
1956201,12:00:00,SUELE Niklas,24
1957902,12:00:00,SLITI Naim,15
1963307,01:30:00,EL AHMADI Karim,20
1964252,02:00:00,TORABI Mehdi,1
1968343,12:00:00,HENDERSON Jordan,7
1971829,05:00:00,BUTLAND Jack,5
1991963,12:00:00,OCHOA Guillermo,23
1996469,12:00:00,JURMAN Matthew,23
1997832,12:00:00,ESCOBAR Fidel,3
2000339,12:00:00,IGHALO Odion,14
2001768,06:00:00,LOZANO Hirving,10
2005444,02:23:00,MAKINO Tomoaki,14
2005835,07:30:00,KOULIBALY Kalidou,5
2009062,12:00:00,KALINIC Nikola,24
2012156,12:00:00,SCHONE Lasse,10
2013966,12:00:00,EYJOLFSSON Holmar,3
2018463,04:00:00,ODRIOZOLA Alvaro,5
2019667,03:00:00,RUBEN DIAS,15
2020351,12:00:00,AHMED HEGAZY,11
2021739,12:00:00,SCHRAM Frederik,18
2031205,09:00:00,OSAMA HAWSAWI,4
2033920,12:00:00,YOSHIDA Maya,22
2038232,12:00:00,SANCHEZ Carlos,11
2042649,12:00:00,CARVAJAL Dani,8
2059102,12:00:00,KANTE Ngolo,6
2067416,12:00:00,MANE Sadio,14
2073162,10:00:00,AUGUSTINSSON Ludwig,4
2080759,12:00:00,GORALSKI Jacek,8
2086868,06:30:00,BEDOUI Rami,7
2091037,06:30:00,TORRES Gabriel,20
2102474,06:00:00,KUDRIASHOV Fedor,24
2108258,12:00:00,TREZEGUET,6
2116355,04:00:00,JONES Phil,6
2117756,12:00:00,ERIKSEN Christian,8
2133232,12:00:00,SCHONE Lasse,7
2141404,10:00:00,ARAUJO Miguel,19
2144377,12:00:00,GUIDETTI John,22
2145130,12:00:00,ARROYO Abdiel,16
2146233,12:00:00,AREOLA Alphonse,22
2147989,12:00:00,LOVREN Dejan,21
2148913,12:00:00,TREZEGUET,5
2151707,12:00:00,ZUBER Steven,1
2161767,05:30:00,ALEXANDER-ARNOLD Trent,11
2167120,03:00:00,SAMIR SAAD,1
2167388,05:00:00,BEN AMOR Mohamed,23
2175034,07:20:00,SKULASON Ari,7
2184296,04:30:00,HENDERSON Jordan,16
2186252,12:00:00,USAMI Takashi,19
2187583,12:00:00,WALLACE Rodney,17
2187948,02:30:00,PLATTENHARDT Marvin,21
2194892,12:00:00,OH Bansuk,16
2198695,07:00:02,GRUJIC Marko,13
2198787,07:30:07,RAMOS Christian,3
2201516,12:00:00,SAKAI Gotoku,6
2202687,12:00:00,KOMPANY Vincent,16
2212985,12:00:00,RAJKOVIC Predrag,12
2223048,12:00:00,DOS SANTOS Giovani,13
2233971,12:00:00,KIM Younggwon,9
2235402,08:00:00,AMIRI Vahid,23
2237327,09:00:00,GAZINSKY Iury,5
2240884,01:00:00,SILVA David,20
2248291,08:00:00,INUI Takashi,20
2252430,05:00:00,BARRIOS  Wilmar,1
2253026,04:30:00,ADVINCULA Luis,22
2256468,06:30:00,TALAVERA Alfredo,19
2259060,10:00:00,WILLIAN,9
2266354,08:00:00,PAZDAN Michal,15
2266524,08:00:00,KOWNACKI Dawid,17
2267173,12:00:00,KRAFTH Emil,16
2272080,12:00:00,XHAKA Granit,2
2274818,05:00:00,ACOSTA Johnny,6
2276656,04:30:00,AYALA Hugo,7
2282660,09:00:00,SVENSSON Gustav,13
2285542,12:00:00,LAXALT Diego,23
2286631,05:00:00,GRIEZMANN Antoine,13
2288293,12:00:00,STERLING Raheem,15
2289344,08:00:00,KHANZADEH Mohammad Reza,12
2295148,12:00:00,TAISEER ALJASSAM,3
2295481,05:00:00,JUNG Seunghyun,15
2296200,09:00:00,HAKIMI Achraf,9
2300519,10:30:00,SARR Ismaila,6
2311158,12:30:00,THELIN Isaac Kiese,24
2312603,09:30:00,JIMENEZ Raul,5
2319471,12:00:00,ANTHONY LOPES,6
2324938,10:00:00,EKDAL Albin,19
2329959,07:00:00,PICKFORD Jordan,11
2341752,12:00:00,SCHONE Lasse,6
2343785,05:00:00,MEREDITH James,19
2347543,12:00:00,KNUDSEN Jonas,0
2352472,12:00:00,VRSALJKO Sime,3
2359648,12:00:00,PISZCZEK Lukasz,7
2370304,12:00:00,ALVAREZ Edson,11
2373158,12:00:00,TAGLIAFICO Nicolas,24
2374595,12:00:00,SCHMEICHEL Kasper,16
2376807,12:00:00,OSAMA HAWSAWI,8
2378591,12:00:00,GODIN Diego,14
2378780,11:30:00,RENATO AUGUSTO,17
2382795,04:00:00,GELSON MARTINS,10
2383985,12:00:00,GOMIS Alfred,11
2386649,12:00:00,MONTAZERI Pejman,2
2386928,10:00:00,GUNNARSSON Aron,5
2391580,08:00:00,LANG Michael,17
2402982,08:30:00,LEWANDOWSKI Robert,0
2407153,09:00:00,SUBASIC Danijel,2
2407385,05:00:00,URIBE Mateus,13
2416269,05:00:00,TER STEGEN Marc-Andre,1
2417183,06:30:00,MOHAMMED ALSAHLAWI,13
2428225,04:00:00,PERISIC Ivan,18
2433574,12:00:00,CARRILLO Andre,10
2437147,07:30:00,MOHAMED KANNO,9
2438170,12:53:00,ANSARIFARD Karim,24
2444182,05:00:00,BODVARSSON Jon,18
2454478,06:30:00,PISZCZEK Lukasz,23
2455788,07:30:00,SAISS Romain,2
2461451,05:00:00,JURMAN Matthew,0
2462796,02:30:00,FINNBOGASON Alfred,17
2465516,02:30:00,DIALLO Abdoulaye,16
2466170,01:30:00,HERRERA Hector,3
2467740,12:00:00,TOIVONEN Ola,2
2472408,06:30:00,CHRISTENSEN Andreas,16
2475937,12:00:00,LARSSON Sebastian,21
2476208,12:00:00,BJARNASON Birkir,24
2483719,12:00:00,ABDALLA SAID,11
2484484,04:00:00,KVIST William,15
2486333,12:00:00,LO CELSO Giovani,4
2489675,01:00:00,SAEVARSSON Birkir,5
2498323,08:00:00,KVIST William,10
2500388,12:00:00,KOUYATE Cheikhou,4
2506173,12:00:00,EL KAABI Ayoub,13
2511987,12:00:00,JURMAN Matthew,2
2522871,12:00:00,BATSHUAYI Michy,2
2530362,12:00:00,GINTER Matthias,2
2535491,12:00:00,PJACA Marko,17
2536966,12:00:00,TORABI Mehdi,23
2540113,12:00:00,LUNEV Andrei,13
2541332,12:00:00,ISCO,21
2546445,01:00:00,ASENSIO Marco,15
2550362,12:00:00,MILIK Arkadiusz,24
2554511,12:00:00,HASEBE Makoto,5
2558608,12:00:00,SILVA Martin,5
2566758,12:00:00,MITROVIC Aleksandar,1
2572859,12:00:00,SASSI Ferjani,5
2575157,12:00:00,BATSHUAYI Michy,10
2580549,11:05:00,GUDMUNDSSON Johann,22
2588618,04:00:00,FARFAN Jefferson,4
2595129,10:00:00,JONES Phil,15
2596978,07:30:00,VERTONGHEN Jan,22
2599485,12:00:00,RONNOW Frederik,0
2603421,10:00:00,KAHRABA,24
2605041,12:00:00,POURALIGANJI Morteza,1
2609472,12:00:00,CAHILL Tim,14
2619080,06:00:00,SUAREZ Luis,1
2619138,12:30:00,MATHLOUTHI Aymen,0
2623284,12:00:00,TRIPPIER Kieran,5
2627315,04:30:00,BOLANOS Christian,17
2627865,12:00:00,TAGNAOUTI Ahmed,9
2633560,12:00:00,RUIZ Bryan,14
2633663,12:00:00,MAHMOUD HAMDY,6
2636503,12:00:00,HONG Chul,8
2637151,12:00:00,CABALLERO Wilfredo,11
2638177,12:00:00,EL AHMADI Karim,8
2639229,08:00:00,URIBE Mateus,9
2644644,12:00:00,OMAR OTHMAN,1
2645203,06:00:00,DI MARIA Angel,3
2646035,08:00:00,ROBERTO FIRMINO,17
2676603,10:00:00,RADONJIC Nemanja,21
2687487,12:00:00,FINNBOGASON Alfred,19
2689302,12:00:00,DJOUROU Johan,3
2691443,12:00:00,WAGUE Moussa,17
2694866,09:00:00,CLAESSON Viktor,7
2708426,05:00:00,VAZQUEZ Lucas,0
2711238,01:00:00,MONREAL Nacho,18
2714724,12:00:00,AMRABAT Sofyan,18
2716990,04:30:00,KRAMARIC Andrej,10
2720117,06:00:00,PENEDO Jaime,10
2721034,12:00:00,BACCA Carlos,21
2722181,12:00:00,CLAESSON Viktor,12
2724824,12:00:00,SPAJIC Uros,19
2725070,12:00:00,SANCHEZ Davinson,16
2725850,10:30:21,HERNANDEZ Lucas,3
2733629,08:00:00,FERNANDES Gelson,18
2735984,12:30:00,PEMBERTON Patrick,17
2738127,01:00:00,ESSAM EL HADARY,5
2739635,10:42:00,RUIZ Bryan,6
2742166,06:30:00,KAHRABA,9
2743489,03:00:00,VESTERGAARD Jannik,21
2744295,12:00:00,JANUZAJ Adnan,15
2749810,01:00:00,KOKE,9
2750723,12:00:00,SCHONE Lasse,13
2751085,10:00:00,ARIAS Santiago,1
2753176,12:06:06,HASSEN Mouez,11
2755044,03:40:40,GLIK Kamil,12
2757478,08:30:00,MANDANDA Steve,6
2759283,09:00:00,PERISIC Ivan,1
2761260,12:00:00,HECTOR Jonas,13
2762329,04:00:00,KUDRIASHOV Fedor,18
2763611,02:00:00,KUDRIASHOV Fedor,24
2767129,12:00:00,GUZMAN David,22
2767873,06:30:00,OEZIL Mesut,18
2769512,08:30:00,JUNG Wooyoung,4
2773329,09:00:00,AIT BENNASSER Youssef,1
2778033,06:00:00,MINA Yerry,13
2783436,12:00:00,JORGENSEN Nicolai,23
2785398,02:00:00,EL KAABI Ayoub,13
2788397,12:00:00,DELANEY Thomas,23
2791440,12:00:00,SALCEDO Carlos,19
2793577,12:00:00,MUTO Yoshinori,8
2795487,08:30:00,TAPIA Renato,0
2800410,05:00:00,DZAGOEV Alan,23
2818315,04:20:00,MERTENS Dries,21
2821684,03:00:00,KHEDIRA Sami,22
2823880,12:00:00,MOHAMED KANNO,3
2826186,06:00:00,KIM Minwoo,13
2827771,03:00:00,GODOY Anibal,4
2828674,12:00:00,SKHIRI Ellyes,1
2829935,12:00:00,JO Hyeonwoo,23
2834679,11:30:00,MOREIRA Leonel,15
2842764,02:30:00,MATUIDI Blaise,10
2847181,05:00:00,ALI GABR,14
2857588,12:00:00,RAJKOVIC Predrag,15
2859616,07:00:00,AMIRI Vahid,2
2859775,05:00:00,YUN Youngsun,15
2870533,02:00:00,COURTOIS Thibaut,22
2872516,02:00:00,EKONG William,1
2874866,02:00:00,QUINTERO Alberto,15
2876876,03:00:00,DE ARRASCAETA Giorgian,20
2885941,11:30:00,MacLAREN Jamie,13
2908739,12:00:00,BEIRANVAND Ali,1
2919726,06:20:00,SALMAN ALFARAJ,7
2926060,10:00:00,EMBOLO Breel,18
2927144,12:00:00,NACHO,2
2928970,12:00:00,BORGES Celso,13
2932234,02:00:00,WERNER Timo,12
2937147,12:00:00,RAPHAEL GUERREIRO,6
2950402,12:00:00,GUDMUNDSSON Johann,13
2963750,12:00:00,HIGASHIGUCHI Masaaki,16
2967256,12:00:00,HASSEN Mouez,4
2968303,09:00:00,ENDO Wataru,22
2970998,12:00:00,EKONG William,8
2974418,12:00:00,TRIPPIER Kieran,14
2978716,12:00:00,ARIAS Santiago,7
2980500,12:00:00,SAUL,23
2980933,12:00:00,BUERKI Roman,8
2985178,07:00:00,KAGAWA Shinji,22
2990904,12:00:00,HAZARD Thorgan,20
2991597,10:00:00,EN NESYRI Youssef,22
2992765,04:30:00,DIOUF Mame,18
2996092,01:00:00,MAALOUL Ali,22
3002085,12:00:00,ARIAS Santiago,23
3003681,12:00:00,SOW Moussa,23
3004555,10:00:00,AZOFEIFA Randall,7
3005589,12:00:00,EKONG William,19
3021690,11:00:35,CALDERON Jose,1
3023749,12:00:00,SON Heungmin,7
3024630,12:00:00,SHOJAEI Masoud,20
3038469,09:00:00,RODRIGUEZ Alberto,7
3039134,11:00:00,DANILO,21
3053396,12:40:00,SKHIRI Ellyes,11
3059323,12:00:00,HALLFREDSSON Emil,0
3071903,12:00:00,SOMMER Yann,1
3076218,07:00:00,RUKAVINA Antonio,15
3077051,12:00:00,JIMENEZ Raul,7
3080665,06:00:00,LERMA Jefferson,10
3085353,06:00:00,MOJICA Johan,8
3085567,08:14:26,MANE Sadio,7
3092757,07:00:00,NEYMAR,15
3093056,12:00:00,RUI PATRICIO,22
3102113,08:00:00,BOUTAIB Khalid,24
3102749,12:00:00,CHERYSHEV Denis,16
3104420,12:00:00,USAMI Takashi,8
3106188,09:00:00,KRAMARIC Andrej,17
3108231,10:00:00,COLINDRES Daniel,5
3127599,10:00:00,ZIYACH Hakim,24
3134084,12:00:00,BRADARIC Filip,15
3138218,07:00:00,HADDADI Oussama,24
3140321,04:00:00,RYAN Mathew,12
3146174,04:00:00,TADIC Dusan,1
3160779,12:00:00,KHAOUI Saifeddine,0
3162403,12:00:00,SAMIR SAAD,24
3168449,08:00:00,RYAN Mathew,18
3174534,08:00:00,TORREIRA Lucas,17
3175427,08:00:00,KUDRIASHOV Fedor,14
3179434,12:00:00,MINA Yerry,18
3183066,12:00:00,PAVON Cristian,19
3184055,12:00:00,JIMENEZ Raul,10
3186245,12:00:00,BIGLIA Lucas,17
3192649,12:00:00,LOVREN Dejan,22
3194977,12:00:00,GUDMUNDSSON Albert,15
3196355,12:00:00,ZOBNIN Roman,11
3197469,12:00:00,SON Heungmin,15
3199053,12:00:00,OKAZAKI Shinji,12
3199869,12:00:00,SIGURDARSON Bjorn,21
3200439,12:00:00,ALI GABR,6
3202110,03:00:00,MESSI Lionel,5
3204106,03:00:00,KAHRABA,11
3205156,03:00:00,RODRIGUEZ Alberto,10
3216935,10:00:00,RAMOS Sergio,2
3221417,10:00:00,BIALKOWSKI Bartosz,21
3223763,12:00:00,RODIC Milan,3
3229785,12:00:00,HERNANDEZ Lucas,7
3238085,12:00:00,LUKAKU Romelu,23
3241337,01:00:00,MOHAMED KANNO,21
3241399,06:00:00,KRUSE Robbie,12
3243219,10:00:00,CASEMIRO,21
3244078,12:00:00,ANSARIFARD Karim,24
3250667,12:00:00,SHAQIRI Xherdan,15
3253333,12:00:00,FAHAD ALMUWALLAD,0
3256736,12:00:00,HURTADO Paolo,5
3261632,12:00:00,OEZIL Mesut,24
3264413,12:00:00,KAHRABA,9
3265711,12:00:00,CAVANI Edinson,21
3266133,10:00:00,KHAZRI Wahbi,19
3268643,10:00:00,KIMMICH Joshua,17
3272171,10:00:00,MUSA Ahmed,8
3274570,12:00:00,JO Hyeonwoo,7
3291194,06:20:00,TAGNAOUTI Ahmed,15
3291432,07:00:00,LICHTSTEINER Stephan,20
3293542,09:30:00,SIGURDSSON Ragnar,23
3294686,08:30:00,LECKIE Mathew,15
3295884,12:00:00,TRAUCO Miguel,17
3304021,05:30:00,ACUNA Marcos,4
3305779,12:00:00,XHAKA Granit,2
3319267,12:00:00,KIMPEMBE Presnel,14
3319732,10:22:36,HARAGUCHI Genki,0
3326135,06:30:00,REINA Pepe,3
3327590,10:30:50,EDERSON,12
3333371,07:30:00,GORETZKA Leon,24
3337476,09:00:00,BATSHUAYI Michy,24
3338167,12:00:00,JUNG Wooyoung,8
3343308,05:00:00,DRMIC Josip,0
3346844,06:00:00,MOHAMMED ALBURAYK,17
3352010,12:00:00,BERG Marcus,17
3353140,12:00:00,BRUNO ALVES,3
3357500,11:00:00,LOYOLA Nilson,9
3358483,05:00:00,PLATTENHARDT Marvin,1
3366906,09:00:00,TADIC Dusan,12
3367555,06:00:00,URRETAVISCAYA Jonathan,10
3379915,12:00:00,RICARDO,7
3388619,06:30:00,SAM MORSY,12
3389236,09:00:00,MILENKOVIC Nikola,23
3391027,12:00:00,CACEDA Carlos,5
3392470,10:00:00,MATIC Nemanja,7
3398806,12:00:00,BEHRAMI Valon,24
3399083,12:00:00,NDIAYE Khadim,23
3399348,12:00:00,MERCADO Gabriel,24
3413447,12:00:00,DOLBERG Kasper,14
3416954,09:00:00,LICHTSTEINER Stephan,3
3434967,09:00:00,CUMMINGS Harold,6
3440161,12:00:00,PEREIRA Maximiliano,21
3441637,12:00:00,JOVIC Luka,18
3442008,12:00:00,ANDRE SILVA,19
3443859,08:00:00,DENDONCKER Leander,12
3447309,06:30:00,ROGIC Tom,13
3447744,06:00:00,RUNARSSON Runar,3
3452136,09:00:00,RICARDO,10
3452192,05:15:00,KOULIBALY Kalidou,10
3453094,06:50:00,PISZCZEK Lukasz,20
3453457,11:00:00,RAMOS Sergio,1
3457862,11:30:00,WAGUE Moussa,11
3459549,08:00:00,GUEYE Idrissa Gana,0
3462421,04:40:00,DIALLO Abdoulaye,23
3466700,12:00:00,FARFAN Jefferson,2
3471170,12:00:00,MBAPPE Kylian,3
3471922,12:00:00,NACHO,11
3473997,09:00:00,ROGIC Tom,24
3478621,04:30:00,YOUNG Ashley,23
3480909,12:00:00,DE ARRASCAETA Giorgian,7
3482125,11:00:00,PESZKO Slawomir,3
3489817,02:00:00,KAGAWA Shinji,3
3500157,05:00:00,ZIYACH Hakim,0
3503948,06:20:00,YASSER ALMOSAILEM,10
3506080,12:00:00,MARQUEZ Rafael,19
3507369,05:00:00,CLAESSON Viktor,18
3509360,12:00:00,SUAREZ Luis,18
3512333,12:00:00,YOSHIDA Maya,24
3512558,10:00:00,AMRABAT Noureddine,22
3518159,10:00:00,POLO Andy,14
3518401,08:50:00,POULSEN Yussuf Yurary,14
3530994,04:00:00,MEREDITH James,20
3537185,06:00:00,VELA Carlos,1
3539689,06:00:00,DURMAZ Jimmy,2
3542170,06:30:00,ALDERWEIRELD Toby,1
3542618,06:30:00,KROHN-DEHLI Michael,3
3551077,06:00:00,VESTERGAARD Jannik,4
3554132,12:00:00,KAWASHIMA Eiji,16
